Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,datetime
0.972,0,236.4,4,0,0,1,2/25/2010 20:39
0.112,0,239.37,0.4,0,0,0,9/1/2007 2:28
1.268,0.048,236.39,5.4,0,0,18,6/6/2008 9:25
0.374,0.054,249.25,1.6,0,0,0,1/7/2009 3:01
1.666,0.214,243.61,6.8,0,0,0,10/25/2010 23:04
0.332,0.084,242.07,1.4,0,0,1,4/10/2008 6:00
0.408,0.18,239.19,1.8,0,1,1,5/10/2008 5:36
0.254,0.122,241.7,1.2,0,1,0,8/12/2009 18:58
0.516,0.35,241.29,2.6,0,1,0,2/22/2007 13:27
0.314,0.126,242.27,1.4,0,0,0,4/8/2007 16:41
1.564,0.3,241.35,6.6,1,0,18,6/29/2007 19:36
0.104,0,238.19,0.4,0,0,0,8/1/2007 2:01
3.316,0,229.45,14.8,0,23,16,8/9/2007 11:00
1.36,0.048,238.39,5.6,0,0,17,3/15/2007 10:10
3.828,0.304,240.47,15.8,38,1,18,2/3/2010 9:12
0.262,0.064,241.53,1.2,0,0,0,11/5/2008 1:37
1.396,0.054,240.87,5.8,0,0,19,11/14/2009 9:45
0.202,0.086,239.92,1,0,0,1,7/8/2008 15:02
0.95,0,237.65,4,0,2,0,5/27/2007 22:26
1.48,0.08,244.33,6,2,0,0,1/25/2009 1:18
1.474,0.174,246.38,6,0,1,0,10/31/2010 4:29
1.366,0.21,241.62,5.6,0,1,18,8/20/2009 8:59
1.628,0.19,237.7,6.8,0,0,18,4/25/2008 7:36
7.602,0.148,231.24,32.8,36,0,17,12/22/2006 21:31
0.754,0,240.94,3.2,0,0,0,12/5/2007 22:21
0.314,0.238,240.04,1.6,0,2,1,7/5/2008 6:10
0.238,0.07,241.02,1,0,0,1,9/19/2009 1:36
3.618,0.122,230.91,15.8,1,29,17,8/8/2007 10:44
0.354,0.088,243.71,1.6,0,0,1,5/14/2009 23:48
0.082,0,242.95,0.2,0,0,1,8/18/2008 2:40
0.936,0,235.92,4.2,0,0,1,4/15/2008 20:56
0.114,0,242.31,0.6,0,0,0,8/24/2007 5:42
1.222,0.108,235.75,5.2,0,0,17,8/11/2007 15:06
0.384,0.124,241.3,1.6,2,0,0,7/19/2007 20:47
0.348,0.216,241.36,1.6,0,1,0,8/24/2007 15:50
0.974,0.332,242.06,4.2,1,0,12,9/13/2009 0:07
0.082,0,242.3,0.2,0,0,1,8/25/2008 9:16
1.336,0.11,243.69,5.4,0,0,19,6/18/2008 23:29
3.892,0.314,238.81,16.4,1,30,18,10/23/2007 17:10
0.282,0.062,232.22,1.2,0,0,0,7/23/2007 9:44
1.5,0.104,242.03,6.2,0,0,18,11/10/2010 15:17
0.574,0.33,241.16,2.6,0,2,0,3/21/2009 12:01
2.416,0,233.96,10.4,0,0,17,1/6/2007 12:01
0.298,0.112,240.44,1.2,0,0,0,6/17/2008 13:01
0.72,0.116,239.22,3,0,0,0,8/21/2007 20:53
0.246,0.078,246.48,1,0,0,0,12/7/2008 2:28
1.83,0.252,236.86,8,0,0,1,7/2/2008 19:20
0.586,0.05,244.36,2.4,0,0,0,12/11/2008 22:12
1.648,0.14,241.54,6.8,0,1,19,9/23/2010 13:14
0.314,0,242.18,1.4,0,0,0,4/24/2009 1:25
2.704,0,238.34,11.4,0,0,17,3/4/2009 21:31
0.87,0.308,238.85,3.8,0,1,12,8/7/2010 9:47
1.402,0.114,240.26,5.8,0,1,18,2/15/2007 9:14
1.36,0,246.87,5.4,0,0,19,2/1/2010 13:09
0.27,0,239.71,1.2,0,0,1,4/25/2010 17:05
2.502,0.204,242.44,10.4,0,0,19,5/8/2008 22:20
0.412,0.206,245.83,1.8,0,0,0,10/22/2009 2:17
2.612,0.106,243.65,10.6,0,0,19,1/12/2010 8:41
0.14,0,240.65,0.6,0,0,0,8/1/2008 16:54
0.82,0.232,241.88,3.6,0,2,1,5/5/2008 23:27
1.224,0,234.72,5.2,0,0,17,3/2/2008 19:38
0.33,0.152,242.77,1.4,0,0,0,10/29/2007 17:20
0.398,0.198,234.68,1.8,0,1,0,5/27/2007 0:59
0.348,0.074,242.65,1.4,0,0,1,10/7/2010 2:56
1.446,0,240.77,6,0,0,19,4/18/2008 13:44
0.332,0,242.23,1.6,0,0,0,1/26/2008 6:13
0.214,0.214,239.79,1.2,0,1,0,8/7/2008 21:10
1.342,0.182,236.44,5.6,0,0,18,6/24/2009 10:41
1.64,0.086,240.37,6.8,0,0,19,5/30/2009 9:31
0.274,0.108,243.51,1.2,0,0,0,6/7/2010 14:30
0.252,0.132,243.1,1.2,0,0,0,8/31/2007 18:29
0.31,0.108,240.96,1.4,0,0,0,3/29/2007 12:09
0.304,0,242.5,1.6,0,0,1,5/16/2010 4:34
0.558,0.11,239.3,2.4,0,1,0,2/2/2007 21:37
0.93,0.196,239.05,4,0,0,11,4/29/2008 10:03
0.35,0.176,240.14,1.6,0,1,0,9/26/2007 0:44
1.25,0.056,235.21,5.2,0,0,17,9/10/2008 6:45
1.41,0.064,241.08,5.8,0,2,19,11/5/2010 11:58
1.41,0.228,232.67,6.2,0,1,0,5/4/2007 19:07
2.172,0.056,233.72,9.4,0,0,17,5/25/2009 21:51
1.59,0.182,239.68,6.6,0,0,0,11/3/2009 17:27
0.496,0.22,243.8,2.2,0,1,0,1/17/2008 17:26
0.316,0.154,236.34,1.4,0,0,0,6/5/2007 18:04
0.258,0,245.88,1,0,0,0,4/10/2008 14:27
1.524,0.168,239.5,6.4,0,0,18,3/10/2009 11:45
0.284,0.086,241.6,1.4,0,0,1,9/9/2008 16:20
1.078,0.232,238.78,4.6,0,0,1,5/3/2009 22:06
0.248,0,243.23,1,0,0,1,9/22/2009 15:57
0.314,0.086,240.71,1.2,0,0,0,4/5/2008 5:55
1.364,0,236.94,5.6,0,0,17,3/17/2007 9:12
2.054,0.44,247.08,8.4,0,2,18,11/30/2008 14:17
1.404,0.108,241.13,5.8,0,0,19,3/29/2010 15:01
2.344,0,236.21,9.8,0,1,17,9/25/2007 22:17
0.322,0.106,245.65,1.4,0,0,1,12/26/2009 4:10
1.554,0.086,241.36,6.4,0,2,19,1/20/2010 9:30
0.314,0.088,241.31,1.4,0,1,0,10/19/2007 6:07
0.38,0.138,247.56,1.6,0,0,1,11/1/2010 20:42
0.432,0.114,243.9,2,0,0,0,2/21/2010 1:01
1.33,0,240.6,5.4,0,0,18,5/22/2009 17:11
1.044,0.638,244.1,6,0,1,0,4/23/2010 15:30
0.65,0,238.12,2.8,0,0,0,1/14/2007 10:29
0.552,0.14,245.55,2.2,0,0,1,4/4/2010 8:29
0.31,0.216,235.07,1.6,0,1,1,5/29/2008 17:24
0.158,0,240.29,0.6,0,0,1,5/19/2008 13:46
0.346,0.166,244.42,1.8,0,2,1,6/5/2010 6:03
2.764,0.514,239.36,11.6,0,2,18,3/31/2007 19:39
0.214,0,249.95,0.8,0,0,0,12/21/2009 4:38
0.136,0,240.33,0.6,0,0,1,6/20/2009 16:01
2.156,0,240.06,9,0,0,18,2/8/2010 7:30
2.182,0.402,238.18,9.2,0,0,29,10/12/2010 9:29
0.36,0.088,244.89,1.6,0,0,0,3/1/2009 3:12
0.334,0.354,240.17,2,0,1,0,6/15/2007 10:41
1.446,0.116,244.12,5.8,0,2,19,4/8/2008 17:22
0.308,0.096,246.07,1.2,0,0,1,11/1/2009 3:21
2.26,0.112,234.26,9.6,2,1,0,5/25/2008 21:21
0.992,0.102,242.96,4,0,0,0,9/12/2008 23:31
0.318,0.076,247.63,1.4,0,0,0,2/3/2009 2:30
0.478,0,245.29,2,0,0,0,1/11/2009 16:57
0.254,0,246.98,1,0,0,0,12/27/2007 6:10
0.208,0.128,239,1,0,1,0,8/15/2007 5:58
0.74,0,247.12,3,0,0,0,12/22/2009 16:01
0.25,0,247.54,1,0,0,1,1/17/2010 5:41
0.358,0.08,240.84,1.4,0,0,1,10/13/2009 17:10
0.776,0.242,241.9,3.4,0,0,1,5/8/2008 21:10
0.354,0.084,240.24,1.6,0,0,0,12/1/2009 23:39
2.262,0,238.88,9.4,0,0,17,3/12/2007 20:29
0.32,0.076,243.97,1.4,0,0,1,11/8/2009 1:06
0.438,0.214,242.07,2,0,0,0,4/6/2009 16:38
0.42,0.218,240.81,2,0,0,1,3/2/2010 23:07
0.32,0.1,244.53,1.4,0,0,1,3/24/2010 1:55
2.388,0.136,239.17,10.4,0,1,1,4/10/2008 22:39
1.27,0.048,239.76,5.2,0,0,18,3/19/2009 10:13
0.232,0.122,243.09,1,0,0,0,7/3/2009 22:19
1.958,0.292,243.6,8,0,2,19,2/14/2010 16:14
0.232,0,244.26,1,0,0,1,4/5/2010 2:41
0.22,0,243.24,1,0,0,0,4/11/2007 17:57
0.402,0.224,241.85,1.8,0,1,0,12/31/2007 7:42
0.208,0.084,241.73,1,0,0,0,7/9/2007 2:57
2.002,0.282,239.97,8.4,0,0,29,5/28/2010 6:45
2.75,0.06,239.35,11.4,0,0,18,11/17/2009 21:46
1.434,0.1,244.42,5.8,0,0,19,5/8/2010 14:43
0.262,0,246.62,1,0,0,0,10/29/2010 3:42
0.422,0.104,243.22,1.8,0,0,1,11/2/2009 23:26
1.694,0.458,238.57,7.2,0,1,18,5/17/2008 10:29
1.724,0.104,240.29,7.2,0,0,19,4/8/2010 13:10
0.546,0.064,242.17,2.4,0,0,0,10/31/2008 11:26
0.298,0.264,243.32,1.6,0,1,0,6/11/2007 15:36
0.36,0.078,241.18,1.6,0,0,1,10/6/2008 10:13
0.954,0.388,242.58,4.2,0,1,10,7/3/2009 23:45
1.128,0.34,244.37,4.8,0,0,13,7/21/2010 21:29
0.508,0.41,243.16,2.6,0,2,1,5/20/2008 20:09
1.262,0,238.14,5.2,0,0,18,2/21/2008 8:58
0.384,0.362,241.45,2.2,0,1,0,8/1/2009 7:21
1.374,0,240.23,5.6,0,0,19,4/9/2009 9:46
0.422,0.062,246.91,1.8,0,0,0,12/30/2007 2:14
2.28,0,239.41,9.6,0,0,17,2/13/2008 22:25
0.262,0,246.52,1,0,0,0,4/11/2008 2:09
2.084,0.216,242.57,8.6,0,0,19,12/31/2009 10:15
0.27,0,247.35,1,0,0,0,3/31/2009 22:37
0.214,0,243.63,0.8,0,0,0,3/19/2009 17:02
0.248,0.15,241.27,1.2,0,0,0,7/5/2007 2:56
0.214,0,239.33,0.8,0,0,0,4/13/2007 0:39
0.31,0.242,237.94,1.6,0,1,1,7/3/2008 11:20
1.316,0.05,238.76,5.4,0,0,18,5/17/2010 8:15
1.43,0.1,242.31,5.8,0,0,19,2/24/2010 16:06
1.392,0.082,240.88,5.8,0,0,18,1/20/2009 8:37
0.228,0,244.89,1,0,0,0,11/24/2010 6:03
0.262,0,241.31,1,0,0,1,8/3/2010 10:58
0.26,0.126,242.5,1.2,0,0,1,8/14/2010 13:44
1.94,0.068,242.57,8,1,0,19,2/17/2010 8:51
1,0.068,238.43,4.2,0,0,1,7/5/2008 1:16
1.686,0.184,239.7,7,0,0,18,8/26/2010 7:29
0.416,0.098,241.29,1.8,0,0,0,2/1/2008 3:42
1.994,0.084,239.55,8.2,0,1,17,2/5/2007 21:30
4.112,0.296,237.1,17.4,0,0,21,10/18/2008 20:56
1.3,0,239.74,5.4,0,0,18,10/18/2008 8:09
0.148,0,240.6,0.6,0,0,1,7/14/2008 1:35
1.924,0.084,239.24,8,0,0,0,3/25/2008 19:45
0.394,0,244.48,1.6,0,0,1,8/29/2010 23:35
1.666,0,247.31,6.6,0,0,0,12/28/2008 6:39
2.538,0.244,242.59,10.4,1,0,18,3/15/2009 22:24
0.162,0,241.81,0.8,0,0,0,7/28/2009 13:37
0.794,0.064,241.98,3.4,0,0,0,1/29/2009 17:50
1.358,0,237.07,5.8,0,0,18,5/31/2010 9:15
1.568,0.156,235.77,6.6,0,0,17,10/11/2008 9:11
0.368,0.064,242.32,1.6,0,0,1,10/15/2010 15:44
0.494,0.344,242.66,2.4,0,1,0,4/28/2008 22:26
0.202,0.054,240.51,0.8,0,0,0,10/26/2008 9:50
3.386,0.196,237.62,14.2,0,38,0,3/14/2008 21:33
1.26,0.194,239.57,5.2,0,0,10,5/11/2009 18:27
1.266,0.06,239.12,5.2,0,0,18,11/26/2010 10:58
1.07,0.446,242.89,4.8,0,2,12,6/10/2010 4:36
0.156,0,240.5,0.6,0,0,1,6/23/2010 3:00
0.694,0.226,239.05,3,0,0,1,9/23/2008 18:13
0.508,0,240.68,2,0,0,0,3/1/2008 6:21
3.878,0.102,235.75,16.4,0,36,17,9/25/2007 8:07
0.416,0.268,243.79,2,0,1,1,7/3/2010 14:03
1.586,0.446,243.43,7,0,0,0,12/12/2008 14:28
1.412,0,240.76,5.8,0,0,18,10/9/2009 15:34
0.896,0.248,240.3,3.8,0,2,1,11/11/2010 8:52
0.41,0.076,243.98,1.8,0,0,0,9/16/2008 15:55
0.138,0,241.11,0.6,0,0,1,7/1/2008 6:13
5.066,0.094,227.53,22.2,35,0,0,1/6/2008 19:40
0.352,0.09,243.46,1.6,0,0,0,11/9/2008 5:17
1.548,0.312,237.19,6.6,0,1,18,7/24/2008 8:44
0.324,0.336,239.78,2,0,2,1,8/30/2008 16:09
0.258,0.106,242.15,1.2,0,0,1,7/7/2010 15:54
1.598,0.264,238.64,6.8,0,1,18,4/5/2007 7:57
0.304,0.208,240.45,1.4,0,2,1,7/20/2008 2:49
1.39,0.076,238.47,5.8,0,0,18,5/29/2009 17:59
1.346,0.104,239.43,5.6,0,0,18,9/15/2009 9:53
0.364,0.104,248.94,1.6,0,1,0,12/16/2008 4:07
0.296,0.088,240.09,1.2,0,0,0,9/26/2007 14:26
0.364,0.134,246.73,1.6,0,0,1,1/16/2010 5:40
0.31,0.076,246.07,1.2,0,2,0,11/30/2008 4:19
1.25,0.108,238.72,5.2,0,0,17,8/31/2007 11:43
1.626,0.174,237.13,6.8,0,1,18,6/20/2008 6:35
4.006,0.184,237.64,17,0,26,18,7/3/2007 22:22
0.626,0.048,247.67,2.6,0,0,0,1/26/2009 16:37
2.364,0.114,237.24,10,0,0,17,12/2/2007 11:29
3.412,0.246,239.95,14.2,38,0,0,9/29/2008 21:52
0.416,0,239.69,1.8,0,0,0,5/10/2010 17:55
1.384,0.074,237.26,5.8,0,1,18,5/7/2009 9:31
0.39,0.18,239.88,1.8,0,0,0,6/9/2010 0:55
1.45,0.192,240.47,6,0,0,18,11/21/2009 11:11
1.364,0.054,242.04,5.6,0,0,18,4/3/2008 11:29
0.236,0,243.85,1,0,0,1,11/9/2009 23:24
4.41,0.07,238.77,18.4,1,0,18,12/23/2006 16:54
1.53,0.216,242.88,6.2,0,0,19,1/27/2010 11:16
2.096,0.116,239.13,9.6,1,0,18,6/16/2009 9:08
0.284,0.078,240.34,1.2,0,0,0,2/25/2008 0:58
1.426,0.098,241.24,5.8,0,0,18,4/12/2009 1:34
0.216,0.102,241.88,1,0,0,1,8/17/2009 11:05
0.356,0.09,243.53,1.6,0,1,0,4/4/2008 17:47
1.704,0.238,239.95,7.2,0,0,19,6/5/2009 7:31
0.59,0.064,241.62,2.8,0,0,7,10/8/2009 4:35
0.332,0.122,240.98,1.4,0,1,0,2/21/2007 5:20
4.396,0,231.84,19,0,1,17,7/18/2007 6:55
0.222,0.132,242.43,1,0,0,0,6/21/2007 17:49
0.154,0,241.04,0.6,0,0,1,5/21/2008 2:15
1.492,0.162,243.89,6,0,0,19,4/8/2008 16:48
0.55,0.214,241.95,2.6,0,1,0,2/11/2008 1:12
0.436,0.232,241.92,2,0,1,0,11/6/2007 23:04
0.364,0.074,242.62,1.6,0,0,0,11/5/2008 2:41
0.252,0,244.24,1,0,0,1,4/30/2008 17:37
0.3,0.054,242.98,1.4,0,0,1,10/14/2010 1:04
0.412,0.222,245.3,1.8,0,0,1,11/12/2009 0:43
1.26,0,238.87,5.2,0,1,18,9/3/2008 9:37
0.228,0.09,240.74,1,0,0,1,8/6/2010 7:31
0.5,0,240.51,2.4,0,0,0,10/31/2008 21:31
1.21,0.326,237.88,5.2,0,1,1,5/8/2008 2:59
0.302,0.232,239.21,1.6,0,0,1,7/20/2009 8:25
2.88,0.098,236.7,12,0,0,18,10/24/2009 20:35
0.23,0,243.33,1,0,0,1,4/5/2010 2:08
1.928,0.108,239.57,8,1,0,18,12/13/2007 8:18
0.254,0.05,245.17,1,0,0,1,2/27/2010 4:24
1.45,0.114,245.46,5.8,0,0,18,12/18/2008 14:48
0.5,0,239.39,2,0,0,0,3/3/2008 1:38
1.504,0.194,237.88,6.4,0,2,18,10/23/2007 18:13
0.302,0.21,237.4,1.4,0,1,0,9/13/2007 12:40
0.348,0.2,243.18,1.6,0,2,0,9/6/2010 4:29
1.36,0,244.63,5.4,0,0,19,1/2/2010 10:18
0.634,0,234.59,2.6,0,0,0,5/13/2007 22:05
0.22,0.216,242.12,1.2,0,2,0,8/20/2008 0:09
2.036,0.078,237.8,8.4,0,0,17,4/4/2008 8:05
3.874,0.108,244.91,15.8,0,40,19,10/28/2010 17:46
2.792,0.338,237.55,11.8,2,0,18,9/5/2009 15:01
3.46,0.108,237.78,14.4,1,0,17,2/18/2007 1:37
0.31,0.144,239.21,1.4,0,0,0,9/2/2010 5:53
1.278,0.052,237.56,5.4,0,0,18,10/24/2008 10:56
0.286,0.092,239.71,1.2,0,1,0,11/1/2007 21:17
0.436,0.19,240.57,2,0,1,1,10/12/2010 14:05
1.514,0.294,240.21,6.4,0,1,18,9/6/2010 18:12
1.502,0.076,239.55,6.2,0,0,18,5/8/2009 16:25
1.374,0.222,241.07,5.6,0,0,18,8/23/2009 9:44
0.366,0.278,244.32,1.8,0,1,1,7/5/2009 20:19
0.156,0,243.14,0.6,0,0,1,8/14/2009 6:57
0.346,0.096,244.47,1.6,0,0,1,4/19/2008 4:39
0.386,0,244.29,1.6,0,0,0,1/1/2007 22:51
0.174,0.154,241.57,0.8,0,0,1,8/31/2008 3:18
3.03,0.316,237.82,12.8,39,0,0,6/12/2007 18:27
1.908,0.232,242.8,7.8,0,0,18,1/29/2010 10:00
0.244,0,246.35,1,0,0,0,12/12/2007 22:52
1.46,0.2,240.93,6,0,1,19,12/7/2009 13:28
1.22,0.158,244.18,5,1,0,1,9/20/2009 22:37
0.41,0.216,246.34,1.8,0,2,1,10/29/2010 5:43
0.872,0.186,241.69,3.6,0,1,0,10/29/2008 8:52
1.52,0.134,242.57,6.2,1,1,19,10/3/2010 15:15
2.44,0.396,242.44,10.2,0,1,19,1/2/2010 17:44
1.182,0.052,237.28,5,0,0,18,7/20/2008 15:13
0.97,0.29,238.87,4.2,0,2,12,6/17/2010 5:54
1.266,0.236,242.24,5.2,0,0,1,9/18/2009 19:31
0.664,0.164,239.36,2.8,0,0,0,11/24/2010 22:16
1.286,0.076,238.98,5.4,0,0,18,6/4/2010 7:17
2.124,0.168,241.53,8.8,0,1,0,4/25/2010 4:36
2.116,0.288,238.13,8.8,0,0,18,11/30/2008 19:38
2.488,0,238.52,10.4,0,0,18,12/1/2009 21:31
0.748,0.076,245.82,3,0,0,0,4/19/2009 23:19
1.294,0.056,235.87,5.4,0,0,17,10/25/2007 11:36
4.014,0.38,244.32,16.4,2,39,18,1/25/2009 15:04
0.348,0.05,247.08,1.6,0,0,0,12/2/2008 23:34
1.316,0.05,245.05,5.2,0,0,19,12/22/2009 8:15
1.302,0.124,239.18,5.4,0,0,18,5/22/2008 10:36
1.74,0.202,240.21,7.2,0,1,18,1/17/2010 14:06
1.466,0,243.06,6,1,0,19,5/8/2010 2:00
1.576,0.19,242.02,6.6,0,0,18,1/28/2008 14:58
0.356,0.088,242.25,1.6,0,0,0,11/4/2008 4:24
1.406,0.094,239.34,5.8,0,1,19,8/27/2010 9:19
0.304,0.238,237.02,1.6,0,1,1,7/3/2008 11:25
0.272,0,249.74,1.2,0,0,0,1/23/2009 2:14
0.218,0.05,245.33,0.8,0,0,0,12/10/2008 6:05
0.458,0.21,246.75,2,0,0,0,1/6/2009 6:25
2.05,0,236.92,8.6,0,0,17,3/19/2007 8:18
4.732,0.254,237.69,19.8,39,0,17,3/9/2008 20:08
1.262,0.062,241.42,5.2,0,1,19,9/18/2010 2:19
2.234,0.286,242.08,10,0,13,1,11/25/2009 16:18
1.292,0.06,232.45,5.4,0,0,16,5/19/2007 18:55
0.082,0,244.11,0.2,0,0,1,8/11/2008 18:02
0.342,0.152,240.67,1.8,0,0,1,7/19/2008 8:25
1.32,0,240.4,5.4,0,1,18,8/28/2007 19:21
1.554,0.118,243.2,6.4,0,0,0,12/21/2009 18:50
1.448,0.1,242.52,6,0,0,18,4/6/2009 14:37
0.388,0.114,242.64,1.6,0,0,1,4/21/2009 16:11
1.89,0,240.25,7.8,0,1,18,1/28/2009 7:53
3.742,0.056,234.44,16.2,2,0,17,1/20/2008 19:42
2.014,0,235.46,8.4,0,0,18,10/11/2008 7:22
1.658,0.22,241.82,6.8,0,1,18,1/26/2010 11:16
0.174,0.054,236.12,0.8,0,0,0,6/8/2007 4:59
1.794,0.22,235.6,7.6,0,1,17,2/20/2007 10:13
2.596,0.174,238.08,10.8,37,1,1,6/6/2010 10:44
0.694,0.264,240.01,3.4,0,0,4,4/16/2009 17:36
0.46,0.204,242.24,2,0,0,0,3/18/2009 15:37
3.696,0.142,238.49,15.4,38,0,18,6/24/2009 18:35
1.362,0.058,236.72,5.8,0,0,0,1/18/2008 20:25
1.366,0.078,241.38,5.6,0,2,0,2/23/2009 4:54
0.252,0.184,236.14,1.2,0,2,0,5/11/2007 4:22
0.182,0.098,237.37,0.8,0,0,0,8/9/2007 19:13
4.088,0.302,241.82,16.8,39,1,19,1/25/2010 23:03
1.56,0.342,242.81,6.4,0,1,19,3/29/2010 17:20
0.728,0,244.65,3,0,0,1,9/22/2008 22:47
1.302,0.102,238.08,5.4,0,0,0,3/16/2007 17:51
0.372,0.12,239.94,1.6,0,1,0,9/4/2007 7:13
2.482,0.156,238.43,10.4,0,19,18,4/25/2009 11:39
1.316,0,237.55,5.4,0,1,0,1/17/2010 17:43
0.246,0.248,242.42,1.4,0,2,0,8/15/2008 4:35
0.33,0.22,242.83,1.6,0,2,1,9/20/2010 6:05
1.96,0.222,237.89,8.2,0,1,0,3/25/2009 19:07
0.24,0.102,237.66,1,0,0,0,9/11/2008 5:01
0.138,0,242.17,0.6,0,0,1,6/23/2009 16:24
0.224,0,240.68,1,0,0,0,1/7/2008 16:42
0.228,0,243.18,1,0,0,0,3/4/2007 6:01
0.238,0.092,241.4,1,0,0,1,9/7/2008 3:39
0.286,0,242.2,1.2,0,0,1,4/28/2008 12:34
4.524,0.378,239.86,19,0,32,19,10/18/2010 18:34
0.158,0,242.13,0.6,0,0,0,6/21/2009 10:52
1.554,0.208,241.35,6.4,0,1,18,4/30/2009 14:27
0.33,0,248.33,1.4,0,0,1,10/27/2010 1:12
0.08,0,240.52,0.2,0,0,0,8/13/2008 0:17
4.98,0.134,233.69,21.6,0,63,0,9/6/2007 21:17
0.322,0.186,238.89,1.6,0,0,1,7/11/2010 2:40
0.202,0,240.27,0.8,0,0,1,6/17/2008 16:39
0.218,0.122,239.33,1,0,0,0,9/6/2007 9:16
0.266,0.048,245.68,1.2,0,0,0,1/21/2009 0:14
3.638,0,238.78,15.6,0,19,0,10/3/2007 22:00
1.664,0.09,241.91,6.8,0,0,17,12/12/2007 8:17
2.478,0.07,237.43,10.4,0,0,18,4/6/2008 20:09
1.9,0.228,241.78,7.8,0,1,0,2/4/2009 21:12
1.698,0.358,238.55,7.2,1,0,18,7/29/2008 8:22
3.964,0,241.51,16.6,0,0,18,2/10/2007 22:48
3.322,0,239.14,13.8,0,0,18,4/7/2007 23:30
1.52,0.106,239.67,6.4,0,0,18,6/15/2010 13:42
0.664,0.1,242.76,2.8,0,0,0,7/20/2010 22:25
0.31,0.124,241.12,1.4,0,0,0,8/23/2007 12:13
2.76,0.112,236.11,11.6,37,0,1,7/17/2008 14:22
2.09,0.166,240.71,8.6,0,2,18,6/16/2007 23:56
0.404,0.25,244.22,1.8,0,1,1,3/26/2010 2:05
0.358,0.1,242.47,1.6,0,0,0,2/28/2009 0:55
2.01,0.148,237.43,8.6,0,0,23,10/8/2009 7:59
1.356,0.222,236.59,5.8,0,1,17,6/28/2007 13:19
1.274,0,235.69,5.4,0,0,17,2/12/2007 11:07
0.338,0.11,242.28,1.4,0,0,0,11/5/2007 5:44
1.342,0,242.31,5.6,0,0,0,12/20/2007 22:05
1.3,0.236,238.37,5.4,0,0,1,11/30/2009 21:59
0.37,0.258,241.64,2,0,0,2,8/26/2009 4:16
0.788,0.19,245.61,3.2,0,2,0,12/14/2008 23:00
4.016,0.376,237.23,17,39,1,17,12/1/2007 12:14
1.104,0.136,240.74,4.6,0,0,12,9/19/2008 17:03
0.682,0.28,233.44,3.2,0,0,0,9/16/2007 19:53
3.174,0.394,238.05,13.6,0,0,18,9/5/2009 18:50
0.102,0,236.9,0.4,0,0,0,7/29/2007 5:44
0.32,0.13,242.41,1.4,0,0,0,2/28/2007 16:00
1.542,0.222,240.36,6.4,0,1,18,3/18/2010 10:31
1.462,0.116,246.13,5.8,0,2,19,3/5/2010 15:05
2.972,0.128,240.95,12.2,0,1,18,1/30/2010 22:22
1.964,0.208,240.58,8.2,0,1,17,12/12/2007 7:16
0.346,0.11,243.46,1.6,0,1,0,4/19/2008 7:34
0.544,0.164,242.49,2.4,0,0,1,9/18/2010 13:08
1.482,0.064,239.85,6.2,0,0,18,3/6/2009 9:53
1.938,0.098,233.65,8.2,0,0,0,2/3/2008 18:30
1.564,0.192,238.18,6.6,2,1,18,2/19/2008 10:27
0.184,0.074,240.15,0.8,0,0,0,9/21/2007 5:47
1.35,0.048,248.69,5.4,0,0,19,12/19/2009 14:47
0.192,0,239.86,0.8,0,0,0,5/25/2010 16:05
0.316,0,241.04,1.6,0,0,1,5/30/2010 14:23
0.436,0.322,243.78,2.2,0,2,0,1/8/2007 23:10
1.506,0.442,241.97,6.4,0,2,13,7/7/2009 20:05
3.132,0,236.82,13.2,0,0,29,10/22/2008 21:59
0.358,0.088,240.25,1.4,0,0,1,11/6/2010 0:07
0.356,0.1,243.94,1.4,0,0,0,5/12/2010 5:33
1.36,0.07,241.52,5.6,0,1,18,3/26/2009 9:45
0.318,0.058,237.98,1.4,0,1,0,6/3/2007 17:06
0.526,0.232,241.07,2.4,0,0,0,11/11/2007 7:16
1.502,0.144,235.41,6.4,0,0,17,5/8/2007 13:22
1.872,0.058,241.12,7.8,0,0,19,2/16/2010 7:11
1.284,0.072,231.9,5.6,0,0,17,11/8/2010 9:28
1.434,0.184,241.08,6,0,1,18,3/21/2008 9:52
0.316,0.068,243.74,1.2,0,1,0,2/18/2010 0:50
0.456,0.404,235.44,2.6,0,0,0,5/14/2007 11:44
0.39,0.112,242.53,1.8,0,1,0,11/21/2008 3:17
0.216,0,243.79,0.8,0,0,0,3/19/2009 17:34
2.106,0.078,239.72,8.8,0,1,18,2/11/2007 22:13
1.818,0.354,239.33,8.8,1,0,1,7/31/2008 20:37
0.698,0,239.43,3,0,0,1,5/16/2010 12:19
1.074,0.068,234.97,6.2,0,10,0,5/30/2007 15:28
0.804,0.184,240.48,3.6,0,0,11,10/16/2010 22:09
0.474,0.074,246.57,2.2,0,0,1,10/25/2009 14:34
1.358,0.08,241.68,5.6,0,0,19,7/1/2009 16:27
0.482,0,244.01,2,0,0,0,11/22/2010 15:42
0.224,0,240.76,1,0,0,0,4/7/2007 5:43
0.226,0,244.03,1,0,0,0,12/13/2007 4:11
0.36,0.208,246.71,1.6,0,0,0,1/7/2007 2:36
1.748,0.094,241.46,7.4,1,0,19,4/5/2008 13:17
0.286,0.054,238.41,1.2,0,0,0,3/17/2007 1:11
